trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.2, 'e': 0.7261490370736909}",25,0,-40.37593310680404,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.7225273536420722}",20,0,-58.68420824513823,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.7189237334319262}",20,0,-116.0116722311504,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
67,False,"{'a': 0.2, 'e': 0.7153380863525599}",20,5,-17.576181796963745,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-29.372177173481518,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.7082203534678}",25,0,-200.03125484338005,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 4}",0
70,False,"{'a': 0.2, 'e': 0.7046880897187134}",20,6,-82.438447885257,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
71,False,"{'a': 0.2, 'e': 0.7011734432085724}",25,20,10.2664831399478,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.697676326071031}",20,0,-91.4442687216458,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.2, 'e': 0.6941966508779789}",20,0,-75.31667958903662,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.6907343306373547}",20,4,-70.99254312686885,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.2, 'e': 0.6872892787909722}",20,0,-94.69306879842321,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.6838614092123558}",30,0,-83.1099926666741,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.6804506362045877}",25,0,-115.13220580167852,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.2, 'e': 0.6770568744981647}",30,0,-56.8997162544133,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.2, 'e': 0.6736800392488677}",25,0,-148.23393697082355,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.2, 'e': 0.6703200460356393}",30,19,-15.213509216611989,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.6669768108584744}",30,14,-35.01205922589061,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.6636502501363194}",25,4,-23.421705692183945,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 0.6603402807049829}",35,6,-149.62368314500452,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 3}",1
84,False,"{'a': 0.2, 'e': 0.6570468198150567}",20,0,-3.3453211094304285,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.6537697851298473}",20,0,-28.311621553653385,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.6505090947233165}",20,7,-61.89045305273193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.2, 'e': 0.6472646670780347}",20,0,-96.13990865402982,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.2, 'e': 0.6440364210831414}",25,0,-5.7243938487325075,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.2, 'e': 0.6408242760323187}",25,7,-84.43588950815425,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
90,False,"{'a': 0.2, 'e': 0.6376281516217733}",25,0,-97.56513868015304,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
91,False,"{'a': 0.2, 'e': 0.6344479679482282}",20,0,-87.38542944847602,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.2, 'e': 0.631283645506926}",20,4,-87.845713562735,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.6281351051896408}",20,0,-93.61092219633208,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
94,False,"{'a': 0.2, 'e': 0.6250022682827008}",20,0,-134.30015656888554,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
95,False,"{'a': 0.2, 'e': 0.62188505646502}",20,0,-80.79437326143474,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
96,False,"{'a': 0.2, 'e': 0.6187833918061408}",30,0,-44.50328522456201,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.2, 'e': 0.6156971967642851}",20,0,-15.712848377269044,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.2, 'e': 0.6126263941844161}",20,8,-14.55083922624296,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.6095709072963093}",20,0,-57.76433380187361,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
100,False,"{'a': 0.2, 'e': 0.6065306597126334}",20,5,-76.01293583842372,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
101,False,"{'a': 0.2, 'e': 0.6035055754270405}",30,0,-136.95451753428213,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
102,False,"{'a': 0.2, 'e': 0.6004955788122659}",25,0,-83.61243061532635,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.2, 'e': 0.5975005946182375}",20,0,-13.63361088669855,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.5945205479701944}",25,17,-10.756655685508932,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.5915553643668151}",20,5,-5.607049979349977,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
